Room 1:
  Tile: 78  | Grid: ( 0,  0) | Screen: ( 32,   0) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 4,  1) | Screen: ( 96,   8) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 4,  2) | Screen: ( 96,  16) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 4,  3) | Screen: ( 96,  24) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 4,  4) | Screen: ( 96,  32) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 4,  5) | Screen: ( 96,  40) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 4,  6) | Screen: ( 96,  48) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 5,  0) | Screen: (112,   0) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 5,  1) | Screen: (112,   8) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 5,  2) | Screen: (112,  16) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 5,  3) | Screen: (112,  24) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 5,  4) | Screen: (112,  32) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 5,  5) | Screen: (112,  40) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 5,  6) | Screen: (112,  48) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 5,  7) | Screen: (112,  56) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: ( 5,  8) | Screen: (112,  64) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 6,  0) | Screen: (128,   0) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 6,  1) | Screen: (128,   8) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 6,  2) | Screen: (128,  16) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 6,  3) | Screen: (128,  24) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 6,  4) | Screen: (128,  32) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 6,  5) | Screen: (128,  40) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 6,  6) | Screen: (128,  48) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 6,  7) | Screen: (128,  56) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 6,  8) | Screen: (128,  64) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: ( 6,  9) | Screen: (128,  72) | Depth: -16 | Prio: 0
  Tile: 79  | Grid: ( 7,  0) | Screen: (144,   0) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 7,  1) | Screen: (144,   8) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 7,  2) | Screen: (144,  16) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 7,  3) | Screen: (144,  24) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 7,  4) | Screen: (144,  32) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 7,  5) | Screen: (144,  40) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 7,  6) | Screen: (144,  48) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 7,  7) | Screen: (144,  56) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 7,  8) | Screen: (144,  64) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 7,  9) | Screen: (144,  72) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: ( 7, 10) | Screen: (144,  80) | Depth: -16 | Prio: 0
  Tile: 54  | Grid: ( 8,  0) | Screen: (160,   0) | Depth: -16 | Prio: 0
  Tile: 79  | Grid: ( 8,  1) | Screen: (160,   8) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 8,  2) | Screen: (160,  16) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 8,  3) | Screen: (160,  24) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 8,  4) | Screen: (160,  32) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 8,  5) | Screen: (160,  40) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 8,  6) | Screen: (160,  48) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 8,  7) | Screen: (160,  56) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 8,  8) | Screen: (160,  64) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: ( 8,  9) | Screen: (160,  72) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: ( 8, 10) | Screen: (160,  80) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: ( 8, 11) | Screen: (160,  88) | Depth: -16 | Prio: 0
  Tile: 55  | Grid: ( 9,  0) | Screen: (176,   0) | Depth: -16 | Prio: 0
  Tile: 56  | Grid: ( 9,  1) | Screen: (176,   8) | Depth: -16 | Prio: 0
  Tile: 79  | Grid: ( 9,  2) | Screen: (176,  16) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 9,  3) | Screen: (176,  24) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 9,  4) | Screen: (176,  32) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 9,  5) | Screen: (176,  40) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 9,  6) | Screen: (176,  48) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 9,  7) | Screen: (176,  56) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: ( 9,  8) | Screen: (176,  64) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: ( 9,  9) | Screen: (176,  72) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: ( 9, 10) | Screen: (176,  80) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: ( 9, 11) | Screen: (176,  88) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: ( 9, 12) | Screen: (176,  96) | Depth: -16 | Prio: 0
  Tile: 79  | Grid: (10,  3) | Screen: (192,  24) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: (10,  4) | Screen: (192,  32) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: (10,  5) | Screen: (192,  40) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: (10,  6) | Screen: (192,  48) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: (10,  7) | Screen: (192,  56) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: (10,  8) | Screen: (192,  64) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: (10,  9) | Screen: (192,  72) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: (10, 10) | Screen: (192,  80) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: (10, 11) | Screen: (192,  88) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: (10, 12) | Screen: (192,  96) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: (10, 13) | Screen: (192, 104) | Depth: -16 | Prio: 0
  Tile: 79  | Grid: (11,  4) | Screen: (208,  32) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: (11,  5) | Screen: (208,  40) | Depth: -16 | Prio: 0
  Tile: 80  | Grid: (11,  7) | Screen: (208,  56) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: (11,  8) | Screen: (208,  64) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: (11,  9) | Screen: (208,  72) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: (11, 10) | Screen: (208,  80) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: (11, 11) | Screen: (208,  88) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: (11, 12) | Screen: (208,  96) | Depth: -16 | Prio: 0
  Tile: 256 | Grid: (11, 18) | Screen: (208, 144) | Depth: -16 | Prio: 0
  Tile: 4   | Grid: (11, 19) | Screen: (208, 152) | Depth: -16 | Prio: 0
  Tile: 80  | Grid: (12,  8) | Screen: (224,  64) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: (12,  9) | Screen: (224,  72) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: (12, 10) | Screen: (224,  80) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: (12, 11) | Screen: (224,  88) | Depth: -16 | Prio: 0
  Tile: 256 | Grid: (12, 17) | Screen: (224, 136) | Depth: -16 | Prio: 0
  Tile: 4   | Grid: (12, 18) | Screen: (224, 144) | Depth: -16 | Prio: 0
  Tile: 3   | Grid: (12, 19) | Screen: (224, 152) | Depth: -16 | Prio: 0
  Tile: 80  | Grid: (13,  9) | Screen: (240,  72) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: (13, 10) | Screen: (240,  80) | Depth: -16 | Prio: 0
  Tile: 117 | Grid: (13, 17) | Screen: (240, 136) | Depth: -16 | Prio: 0
  Tile: 8   | Grid: (13, 18) | Screen: (240, 144) | Depth: -16 | Prio: 0
  Tile: 7   | Grid: (13, 19) | Screen: (240, 152) | Depth: -16 | Prio: 0
  Tile: 11  | Grid: (14,  8) | Screen: (256,  64) | Depth: -16 | Prio: 0
  Tile: 44  | Grid: (14,  9) | Screen: (256,  72) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: (14, 10) | Screen: (256,  80) | Depth: -16 | Prio: 0
  Tile: 117 | Grid: (14, 18) | Screen: (256, 144) | Depth: -16 | Prio: 0
  Tile: 8   | Grid: (14, 19) | Screen: (256, 152) | Depth: -16 | Prio: 0
  Tile: 10  | Grid: (15,  7) | Screen: (272,  56) | Depth: -16 | Prio: 0
  Tile: 10  | Grid: (15,  8) | Screen: (272,  64) | Depth: -16 | Prio: 0
  Tile: 41  | Grid: (15,  9) | Screen: (272,  72) | Depth: -16 | Prio: 0
  Tile: 117 | Grid: ( 0,  2) | Screen: ( 32,  16) | Depth: -16 | Prio: 1
  Tile: 107 | Grid: ( 0,  3) | Screen: ( 32,  24) | Depth: -16 | Prio: 1
  Tile: 173 | Grid: ( 0,  5) | Screen: ( 32,  40) | Depth: -16 | Prio: 1
  Tile: 2   | Grid: ( 1,  3) | Screen: ( 48,  24) | Depth: -16 | Prio: 1
  Tile: 107 | Grid: ( 1,  4) | Screen: ( 48,  32) | Depth: -16 | Prio: 1
  Tile: 175 | Grid: ( 2,  4) | Screen: ( 64,  32) | Depth: -16 | Prio: 1
  Tile: 90  | Grid: ( 5,  6) | Screen: (112,  48) | Depth: -16 | Prio: 1
  Tile: 6   | Grid: ( 5,  7) | Screen: (112,  56) | Depth: -16 | Prio: 1
  Tile: 52  | Grid: ( 6,  0) | Screen: (128,   0) | Depth: -16 | Prio: 1
  Tile: 53  | Grid: ( 6,  1) | Screen: (128,   8) | Depth: -16 | Prio: 1
  Tile: 90  | Grid: ( 6,  5) | Screen: (128,  40) | Depth: -16 | Prio: 1
  Tile: 6   | Grid: ( 6,  6) | Screen: (128,  48) | Depth: -16 | Prio: 1
  Tile: 6   | Grid: ( 6,  7) | Screen: (128,  56) | Depth: -16 | Prio: 1
  Tile: 6   | Grid: ( 6,  8) | Screen: (128,  64) | Depth: -16 | Prio: 1
  Tile: 51  | Grid: ( 7,  0) | Screen: (144,   0) | Depth: -16 | Prio: 1
  Tile: 52  | Grid: ( 7,  1) | Screen: (144,   8) | Depth: -16 | Prio: 1
  Tile: 53  | Grid: ( 7,  2) | Screen: (144,  16) | Depth: -16 | Prio: 1
  Tile: 90  | Grid: ( 7,  4) | Screen: (144,  32) | Depth: -16 | Prio: 1
  Tile: 6   | Grid: ( 7,  5) | Screen: (144,  40) | Depth: -16 | Prio: 1
  Tile: 6   | Grid: ( 7,  6) | Screen: (144,  48) | Depth: -16 | Prio: 1
  Tile: 6   | Grid: ( 7,  7) | Screen: (144,  56) | Depth: -16 | Prio: 1
  Tile: 6   | Grid: ( 7,  8) | Screen: (144,  64) | Depth: -16 | Prio: 1
  Tile: 6   | Grid: ( 7,  9) | Screen: (144,  72) | Depth: -16 | Prio: 1
  Tile: 55  | Grid: ( 8,  1) | Screen: (160,   8) | Depth: -16 | Prio: 1
  Tile: 56  | Grid: ( 8,  2) | Screen: (160,  16) | Depth: -16 | Prio: 1
  Tile: 80  | Grid: ( 8,  4) | Screen: (160,  32) | Depth: -16 | Prio: 1
  Tile: 6   | Grid: ( 8,  5) | Screen: (160,  40) | Depth: -16 | Prio: 1
  Tile: 6   | Grid: ( 8,  6) | Screen: (160,  48) | Depth: -16 | Prio: 1
  Tile: 6   | Grid: ( 8,  7) | Screen: (160,  56) | Depth: -16 | Prio: 1
  Tile: 6   | Grid: ( 8,  8) | Screen: (160,  64) | Depth: -16 | Prio: 1
  Tile: 80  | Grid: ( 9,  5) | Screen: (176,  40) | Depth: -16 | Prio: 1
  Tile: 6   | Grid: ( 9,  6) | Screen: (176,  48) | Depth: -16 | Prio: 1
  Tile: 6   | Grid: ( 9,  7) | Screen: (176,  56) | Depth: -16 | Prio: 1
  Tile: 80  | Grid: (10,  6) | Screen: (192,  48) | Depth: -16 | Prio: 1
  Tile: 56  | Grid: (11, 18) | Screen: (208, 144) | Depth: -16 | Prio: 1
  Tile: 56  | Grid: (12, 17) | Screen: (224, 136) | Depth: -16 | Prio: 1
  Tile: 90  | Grid: (14,  8) | Screen: (256,  64) | Depth: -16 | Prio: 1
  Tile: 6   | Grid: (14,  9) | Screen: (256,  72) | Depth: -16 | Prio: 1
  Tile: 90  | Grid: (15,  7) | Screen: (272,  56) | Depth: -16 | Prio: 1
  Tile: 6   | Grid: (15,  8) | Screen: (272,  64) | Depth: -16 | Prio: 1
  Tile: 6   | Grid: (15,  9) | Screen: (272,  72) | Depth: -16 | Prio: 1
  Tile: 117 | Grid: ( 1,  3) | Screen: ( 48,  24) | Depth: -16 | Prio: 2
  Tile: 173 | Grid: ( 1,  4) | Screen: ( 48,  32) | Depth: -16 | Prio: 2
  Tile: 100 | Grid: (11, 18) | Screen: (208, 144) | Depth: -16 | Prio: 2
  Tile: 100 | Grid: (12, 17) | Screen: (224, 136) | Depth: -16 | Prio: 2
  Tile: 155 | Grid: ( 2,  0) | Screen: ( 64,   0) | Depth:   4 | Prio: 1
  Tile: 154 | Grid: ( 2,  1) | Screen: ( 64,   8) | Depth:   4 | Prio: 1
  Tile: 46  | Grid: (12,  2) | Screen: (224,  16) | Depth:   8 | Prio: 0
  Tile: 40  | Grid: (12,  3) | Screen: (224,  24) | Depth:   8 | Prio: 0
  Tile: 39  | Grid: (12,  4) | Screen: (224,  32) | Depth:   8 | Prio: 0
  Tile: 46  | Grid: (13,  3) | Screen: (240,  24) | Depth:   8 | Prio: 0
  Tile: 40  | Grid: (13,  4) | Screen: (240,  32) | Depth:   8 | Prio: 0
  Tile: 39  | Grid: (13,  5) | Screen: (240,  40) | Depth:   8 | Prio: 0
  Tile: 152 | Grid: ( 5,  0) | Screen: (112,   0) | Depth:  10 | Prio: 1
  Tile: 155 | Grid: ( 5,  1) | Screen: (112,   8) | Depth:  10 | Prio: 1
  Tile: 155 | Grid: ( 5,  2) | Screen: (112,  16) | Depth:  10 | Prio: 1
  Tile: 155 | Grid: ( 5,  3) | Screen: (112,  24) | Depth:  10 | Prio: 1
  Tile: 154 | Grid: ( 5,  4) | Screen: (112,  32) | Depth:  10 | Prio: 1
  Tile: 7   | Grid: (10,  0) | Screen: (192,   0) | Depth:  16 | Prio: 0
  Tile: 8   | Grid: (10,  1) | Screen: (192,   8) | Depth:  16 | Prio: 0
  Tile: 7   | Grid: (10,  2) | Screen: (192,  16) | Depth:  16 | Prio: 0
  Tile: 3   | Grid: (11,  0) | Screen: (208,   0) | Depth:  16 | Prio: 0
  Tile: 4   | Grid: (11,  1) | Screen: (208,   8) | Depth:  16 | Prio: 0
  Tile: 3   | Grid: (11,  2) | Screen: (208,  16) | Depth:  16 | Prio: 0
  Tile: 4   | Grid: (11,  3) | Screen: (208,  24) | Depth:  16 | Prio: 0
  Tile: 3   | Grid: (11,  6) | Screen: (208,  48) | Depth:  16 | Prio: 0
  Tile: 38  | Grid: (12,  0) | Screen: (224,   0) | Depth:  16 | Prio: 0
  Tile: 38  | Grid: (12,  1) | Screen: (224,   8) | Depth:  16 | Prio: 0
  Tile: 11  | Grid: (12,  5) | Screen: (224,  40) | Depth:  16 | Prio: 0
  Tile: 11  | Grid: (12,  6) | Screen: (224,  48) | Depth:  16 | Prio: 0
  Tile: 44  | Grid: (12,  7) | Screen: (224,  56) | Depth:  16 | Prio: 0
  Tile: 37  | Grid: (13,  0) | Screen: (240,   0) | Depth:  16 | Prio: 0
  Tile: 38  | Grid: (13,  1) | Screen: (240,   8) | Depth:  16 | Prio: 0
  Tile: 38  | Grid: (13,  2) | Screen: (240,  16) | Depth:  16 | Prio: 0
  Tile: 11  | Grid: (13,  6) | Screen: (240,  48) | Depth:  16 | Prio: 0
  Tile: 11  | Grid: (13,  7) | Screen: (240,  56) | Depth:  16 | Prio: 0
  Tile: 44  | Grid: (13,  8) | Screen: (240,  64) | Depth:  16 | Prio: 0
  Tile: 46  | Grid: (14,  6) | Screen: (256,  48) | Depth:  16 | Prio: 0
  Tile: 11  | Grid: (14,  7) | Screen: (256,  56) | Depth:  16 | Prio: 0
  Tile: 126 | Grid: (10,  2) | Screen: (192,  16) | Depth:  16 | Prio: 1
  Tile: 8   | Grid: (10,  3) | Screen: (192,  24) | Depth:  16 | Prio: 1
  Tile: 7   | Grid: (10,  4) | Screen: (192,  32) | Depth:  16 | Prio: 1
  Tile: 8   | Grid: (10,  5) | Screen: (192,  40) | Depth:  16 | Prio: 1
  Tile: 107 | Grid: (10,  7) | Screen: (192,  56) | Depth:  16 | Prio: 1
  Tile: 3   | Grid: (11,  4) | Screen: (208,  32) | Depth:  16 | Prio: 1
  Tile: 4   | Grid: (11,  5) | Screen: (208,  40) | Depth:  16 | Prio: 1
  Tile: 99  | Grid: (11,  7) | Screen: (208,  56) | Depth:  16 | Prio: 1
  Tile: 39  | Grid: (12,  2) | Screen: (224,  16) | Depth:  16 | Prio: 1
  Tile: 46  | Grid: (12,  4) | Screen: (224,  32) | Depth:  16 | Prio: 1
  Tile: 39  | Grid: (13,  3) | Screen: (240,  24) | Depth:  16 | Prio: 1
  Tile: 46  | Grid: (13,  5) | Screen: (240,  40) | Depth:  16 | Prio: 1
  Tile: 127 | Grid: (10,  3) | Screen: (192,  24) | Depth:  16 | Prio: 2
  Tile: 127 | Grid: (10,  4) | Screen: (192,  32) | Depth:  16 | Prio: 2
  Tile: 127 | Grid: (10,  5) | Screen: (192,  40) | Depth:  16 | Prio: 2
  Tile: 7   | Grid: (10,  6) | Screen: (192,  48) | Depth:  16 | Prio: 2
  Tile: 128 | Grid: (10,  7) | Screen: (192,  56) | Depth:  16 | Prio: 2
  Tile: 127 | Grid: (10,  6) | Screen: (192,  48) | Depth:  16 | Prio: 3
  Tile: 173 | Grid: ( 1,  9) | Screen: ( 48,  72) | Depth:  18 | Prio: 0
  Tile: 108 | Grid: ( 1, 10) | Screen: ( 48,  80) | Depth:  18 | Prio: 0
  Tile: 44  | Grid: ( 1, 11) | Screen: ( 48,  88) | Depth:  18 | Prio: 0
  Tile: 173 | Grid: ( 2,  8) | Screen: ( 64,  64) | Depth:  18 | Prio: 0
  Tile: 177 | Grid: ( 2,  9) | Screen: ( 64,  72) | Depth:  18 | Prio: 0
  Tile: 106 | Grid: ( 2, 10) | Screen: ( 64,  80) | Depth:  18 | Prio: 0
  Tile: 11  | Grid: ( 2, 11) | Screen: ( 64,  88) | Depth:  18 | Prio: 0
  Tile: 44  | Grid: ( 2, 12) | Screen: ( 64,  96) | Depth:  18 | Prio: 0
  Tile: 11  | Grid: ( 3,  6) | Screen: ( 80,  48) | Depth:  18 | Prio: 0
  Tile: 11  | Grid: ( 3,  7) | Screen: ( 80,  56) | Depth:  18 | Prio: 0
  Tile: 11  | Grid: ( 3,  8) | Screen: ( 80,  64) | Depth:  18 | Prio: 0
  Tile: 44  | Grid: ( 3,  9) | Screen: ( 80,  72) | Depth:  18 | Prio: 0
  Tile: 109 | Grid: ( 3, 10) | Screen: ( 80,  80) | Depth:  18 | Prio: 0
  Tile: 11  | Grid: ( 4,  7) | Screen: ( 96,  56) | Depth:  18 | Prio: 0
  Tile: 11  | Grid: ( 4,  8) | Screen: ( 96,  64) | Depth:  18 | Prio: 0
  Tile: 11  | Grid: ( 4,  9) | Screen: ( 96,  72) | Depth:  18 | Prio: 0
  Tile: 44  | Grid: ( 4, 10) | Screen: ( 96,  80) | Depth:  18 | Prio: 0
  Tile: 10  | Grid: ( 5,  9) | Screen: (112,  72) | Depth:  18 | Prio: 0
  Tile: 41  | Grid: ( 5, 10) | Screen: (112,  80) | Depth:  18 | Prio: 0
  Tile: 256 | Grid: (10, 16) | Screen: (192, 128) | Depth:  18 | Prio: 0
  Tile: 256 | Grid: (10, 17) | Screen: (192, 136) | Depth:  18 | Prio: 0
  Tile: 208 | Grid: ( 3,  4) | Screen: ( 80,  32) | Depth:  18 | Prio: 1
  Tile: 136 | Grid: ( 3,  5) | Screen: ( 80,  40) | Depth:  18 | Prio: 1
  Tile: 176 | Grid: ( 3,  8) | Screen: ( 80,  64) | Depth:  18 | Prio: 1
  Tile: 174 | Grid: ( 3,  9) | Screen: ( 80,  72) | Depth:  18 | Prio: 1
  Tile: 137 | Grid: ( 4,  4) | Screen: ( 96,  32) | Depth:  18 | Prio: 1
  Tile: 136 | Grid: ( 4,  5) | Screen: ( 96,  40) | Depth:  18 | Prio: 1
  Tile: 136 | Grid: ( 4,  6) | Screen: ( 96,  48) | Depth:  18 | Prio: 1
  Tile: 175 | Grid: ( 4,  8) | Screen: ( 96,  64) | Depth:  18 | Prio: 1
  Tile: 109 | Grid: ( 4,  9) | Screen: ( 96,  72) | Depth:  18 | Prio: 1
  Tile: 137 | Grid: ( 5,  5) | Screen: (112,  40) | Depth:  18 | Prio: 1
  Tile: 10  | Grid: ( 5,  8) | Screen: (112,  64) | Depth:  18 | Prio: 1
  Tile: 173 | Grid: (12,  7) | Screen: (224,  56) | Depth:  18 | Prio: 1
  Tile: 108 | Grid: (12,  8) | Screen: (224,  64) | Depth:  18 | Prio: 1
  Tile: 44  | Grid: (12,  9) | Screen: (224,  72) | Depth:  18 | Prio: 1
  Tile: 176 | Grid: (13,  7) | Screen: (240,  56) | Depth:  18 | Prio: 1
  Tile: 46  | Grid: (13,  8) | Screen: (240,  64) | Depth:  18 | Prio: 1
  Tile: 11  | Grid: (13,  9) | Screen: (240,  72) | Depth:  18 | Prio: 1
  Tile: 44  | Grid: (13, 10) | Screen: (240,  80) | Depth:  18 | Prio: 1
  Tile: 175 | Grid: (14,  7) | Screen: (256,  56) | Depth:  18 | Prio: 1
  Tile: 46  | Grid: ( 3,  5) | Screen: ( 80,  40) | Depth:  18 | Prio: 2
  Tile: 46  | Grid: ( 4,  6) | Screen: ( 96,  48) | Depth:  18 | Prio: 2
  Tile: 136 | Grid: ( 5,  6) | Screen: (112,  48) | Depth:  18 | Prio: 2
  Tile: 10  | Grid: ( 5,  7) | Screen: (112,  56) | Depth:  18 | Prio: 2
  Tile: 106 | Grid: (13,  8) | Screen: (240,  64) | Depth:  18 | Prio: 2
  Tile: 11  | Grid: (13,  9) | Screen: (240,  72) | Depth:  18 | Prio: 2
  Tile: 44  | Grid: (13, 10) | Screen: (240,  80) | Depth:  18 | Prio: 2
  Tile: 109 | Grid: (14,  8) | Screen: (256,  64) | Depth:  18 | Prio: 2
  Tile: 42  | Grid: ( 5,  6) | Screen: (112,  48) | Depth:  18 | Prio: 3
  Tile: 8   | Grid: (14,  0) | Screen: (256,   0) | Depth:  20 | Prio: 0
  Tile: 7   | Grid: (14,  1) | Screen: (256,   8) | Depth:  20 | Prio: 0
  Tile: 8   | Grid: (14,  2) | Screen: (256,  16) | Depth:  20 | Prio: 0
  Tile: 7   | Grid: (14,  3) | Screen: (256,  24) | Depth:  20 | Prio: 0
  Tile: 8   | Grid: (14,  4) | Screen: (256,  32) | Depth:  20 | Prio: 0
  Tile: 7   | Grid: (14,  5) | Screen: (256,  40) | Depth:  20 | Prio: 0
  Tile: 4   | Grid: (15,  0) | Screen: (272,   0) | Depth:  20 | Prio: 0
  Tile: 3   | Grid: (15,  1) | Screen: (272,   8) | Depth:  20 | Prio: 0
  Tile: 4   | Grid: (15,  2) | Screen: (272,  16) | Depth:  20 | Prio: 0
  Tile: 3   | Grid: (15,  3) | Screen: (272,  24) | Depth:  20 | Prio: 0
  Tile: 4   | Grid: (15,  4) | Screen: (272,  32) | Depth:  20 | Prio: 0
  Tile: 3   | Grid: (15,  5) | Screen: (272,  40) | Depth:  20 | Prio: 0
  Tile: 42  | Grid: (15,  6) | Screen: (272,  48) | Depth:  20 | Prio: 0
  Tile: 107 | Grid: (14,  6) | Screen: (256,  48) | Depth:  20 | Prio: 1
  Tile: 99  | Grid: (15,  6) | Screen: (272,  48) | Depth:  20 | Prio: 1
  Tile: 44  | Grid: (14, 11) | Screen: (256,  88) | Depth:  22 | Prio: 0
